%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2023 125 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 36.00 5.30 -999.00 -999.00 220.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 219.10 7.50 -999.00
2023 125 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 34.00 5.30 -999.00 -999.00 210.30 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 148.80 191.00 -999.00
2023 125 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 35.00 5.30 -999.00 -999.00 159.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 82.10 356.80 -999.00
2023 125 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.90000 37.00 4.70 -999.00 -999.00 51.30 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 39.10 128.30 -999.00
2023 125 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 43.00 3.00 -999.00 -999.00 3.50 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 3.20 0.90 -999.00
2023 125 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 50.00 2.20 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 126 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 56.00 2.90 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 126 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 53.00 2.60 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 126 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.70000 55.00 2.10 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 126 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.70000 55.00 1.50 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 126 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 60.00 0.80 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 126 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 65.00 0.20 -999.00 -999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2023 126 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 70.00 0.40 -999.00 -999.00 12.80 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 11.10 24.20 -999.00
2023 126 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 72.00 0.30 -999.00 -999.00 93.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 45.60 310.20 -999.00
2023 126 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 63.00 2.90 -999.00 -999.00 221.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 99.10 426.30 -999.00
2023 126 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 54.00 5.10 -999.00 -999.00 385.30 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 75.50 753.40 -999.00
